Subject,Catalog Number,Title,Topic,Campus
ECE,416,Advanced Topics in Networking,,UW
ECE,417,Image Processing,,UW
ECE,423,Embedded Computer Systems,,UW
ECE,444,Integrated Analog Electronics,,UW
ECE,451,Software Req Specif & Analysis,,UW
ECE,452,Software Design & Archit,,UW
ECE,453,"Software Test, QA & Maint",,UW
ECE,457B,Computational Intelligence,,UW
ECE,459,Programming for Performance,,UW
ECE,464,HV Eng & Pwr Sys Protection,,UW
ECE,467,Power Sys Operations & Markets,,UW
ECE,474,Radio & Wireless Systems,,UW
ECE,488,Multivariable Control Systems,,UW
ECE,493,Special Topics,Social Robotics,UW
ECE,493,Special Topics,Ultrasound Medicine & Biology,UW
ECE,493,Special Topics,Foundations of Multiagent Sys,UW
ECE,493,Special Topics,IOT Signal Processing,UW
ECE,495,Autonomous Vehicles,,UW
